samples	Lat	Lon	COLOR_001	MAG_001	COLOR_002	MAG_002	COLOR_003	MAG_003	COLOR_004	MAG_004	COLOR_005	MAG_005
Metagenome_01	36.55	-6.57	0.810030943	0.000546189	0	9.47E-05	0.03859448	2.90E-05	0.03859448	0.017906223	1.41E-05	0.00165705
Metagenome_02	36.57	-6.54	0.40296634	0.003195782	1	0.000293193	0.033449835	2.92E-05	0.033449835	0.002439447	1.86E-05	0.001757119
Metagenome_03	35.91	-37.26	0.552144376	0.076768908	2	0.000747965	0.03030056	9.38E-06	0.03030056	0.002750737	1.95E-05	0.006204557
Metagenome_04	35.75	-37.05	0.811288701	0.161819845	3	0.001082451	0.027517686	7.77E-06	0.027517686	0.003660788	2.08E-05	0.00430017
Metagenome_05	36.16	-29.01	0.037641937	0.004429273	4	0.001217411	0.023355612	1.97E-05	0.023355612	0.002480494	2.20E-05	0.004635633
Metagenome_06	36.19	-28.88	0.908844514	0.003723123	5	0.000574345	0.023183939	8.91E-06	0.023183939	0.000378173	2.23E-05	0.00818276
Metagenome_07	43.69	-16.85	0.545058927	0.004529299	6	0.000376584	0.019915082	0.000988666	0.019915082	0.000285397	2.29E-05	0.013052723
Metagenome_08	9.85	-80.04	0.114218109	0.086787558	7	0.00012408	0.018611573	4.50E-07	0.018611573	0.008367581	2.33E-05	3.26E-05
Metagenome_09	25.51	-88.38	0.329536309	0.118475909	8	0.00055734	0.018509653	1.69E-06	0.018509653	0.004387672	2.39E-05	0.000270463
Metagenome_10	39.23	-70.03	0.889719314	0.050321681	9	0.000167856	0.017935595	0.000771443	0.017935595	0.000164342	2.54E-05	0.000181648
Metagenome_11	34.68	-71.3	0.162753319	0.291392293	10	0.000891335	0.017906223	5.69E-06	0.017906223	0.001446652	2.63E-05	0.002984184
Metagenome_12	31.7	-64.25	0.514682649	0.200199916	11	0.001131632	0.017676353	5.92E-06	0.017676353	0.018509653	2.64E-05	0.001290775
Metagenome_13	34.1	-49.89	0.761746358	0.433873241	12	0.00126812	0.016699203	9.34E-06	0.016699203	0.002886326	2.74E-05	0.004225601
