samples	Lat	Lon	MAG_001	MAG_002	MAG_003	MAG_004	MAG_005
Metagenome_01	36.55	-6.57	0.000546189	9.47E-05	2.90E-05	0.017906223	0.00165705
Metagenome_02	36.57	-6.54	0.003195782	0.000293193	2.92E-05	0.002439447	0.001757119
Metagenome_03	35.91	-37.26	0.076768908	0.000747965	9.38E-06	0.002750737	0.006204557
Metagenome_04	35.75	-37.05	0.161819845	0.001082451	7.77E-06	0.003660788	0.00430017
Metagenome_05	36.16	-29.01	0.004429273	0.001217411	1.97E-05	0.002480494	0.004635633
Metagenome_06	36.19	-28.88	0.003723123	0.000574345	8.91E-06	0.000378173	0.00818276
Metagenome_07	43.69	-16.85	0.004529299	0.000376584	0.000988666	0.000285397	0.013052723
Metagenome_08	9.85	-80.04	0.086787558	0.00012408	4.50E-07	0.008367581	3.26E-05
Metagenome_09	25.51	-88.38	0.118475909	0.00055734	1.69E-06	0.004387672	0.000270463
Metagenome_10	39.23	-70.03	0.050321681	0.000167856	0.000771443	0.000164342	0.000181648
Metagenome_11	34.68	-71.3	0.291392293	0.000891335	5.69E-06	0.001446652	0.002984184
Metagenome_12	31.7	-64.25	0.200199916	0.001131632	5.92E-06	0.018509653	0.001290775
Metagenome_13	34.1	-49.89	0.433873241	0.00126812	9.34E-06	0.002886326	0.004225601
Metagenome_14	-34.94	17.94	0.026590754	0.003481929	0.000850365	0.000500317	0.006188141
Metagenome_15	-34.89	18.07	0.035821946	0.002284278	0.000713732	0.000423395	0.008814071
Metagenome_16	-32.23	17.71	0.006785873	5.12E-05	9.60E-05	0.001266712	2.08E-05
Metagenome_17	-31.03	4.69	0.018278963	0.000190878	2.59E-05	0.000142139	0.023526402
Metagenome_18	-31.03	4.69	0.009135467	9.89E-05	6.53E-06	4.99E-05	0.00728192
Metagenome_19	-20.44	-3.19	0.001377944	0.034612727	9.03E-06	0.006570299	0.002498121
Metagenome_20	-8.78	-17.91	0.000328911	0.001023592	3.67E-05	0.001577459	5.06E-05
Metagenome_21	-8.7	-17.94	0.000113114	7.21E-05	4.12E-06	0.000122084	0.001221777
Metagenome_22	-20.94	-35.2	0.001216199	4.09E-05	1.03E-06	0.033449835	4.69E-05
Metagenome_23	-30.14	-43.29	0.017114087	0.000160834	1.18E-06	0.023183939	0.000700313
Metagenome_24	-47.18	-58.3	0.016768871	5.52E-05	0.004623848	0.000287866	9.97E-05
